time,group,numsprays,area,numcolonies,avgarea
218827.0,A,6,0,0,0
218827.0,A,0,11598.0,5,2319.6
218827.0,B,0,12107.5,9,1345.2777777777778
218827.0,B,3,7188.0,73,98.46575342465754
218827.0,A,3,6502.5,68,95.625
218827.0,B,9,0,0,0
218827.0,A,9,4880.0,29,168.27586206896552
220629.0,B,6,7183.5,52,138.14423076923077
220629.0,A,6,0,0,0
220629.0,A,0,11966.0,6,1994.3333333333333
220629.0,B,0,12945.0,10,1294.5
220629.0,B,3,7796.0,73,106.79452054794521
220629.0,A,3,10617.0,93,114.16129032258064
220629.0,B,9,0,0,0
220629.0,A,9,2404.0,18,133.55555555555554
222431.0,B,6,6491.0,43,150.95348837209303
222431.0,A,6,0,0,0
222431.0,A,0,13034.5,6,2172.4166666666665
222431.0,B,0,14919.0,8,1864.875
222431.0,B,3,7068.0,67,105.49253731343283
222431.0,A,3,6471.0,71,91.14084507042253
222431.0,B,9,1047.0,2,523.5
222431.0,A,9,3841.5,25,153.66
224234.0,B,6,6990.5,44,158.875
224234.0,A,6,0,0,0
224234.0,A,0,12114.5,7,1730.642857142857
224234.0,B,0,13840.0,3,4613.333333333333
224234.0,B,3,8178.5,82,99.73780487804878
224234.0,A,3,10544.0,85,124.04705882352941
224234.0,B,9,0,0,0
224234.0,A,9,4845.5,35,138.44285714285715
226036.0,B,6,6922.5,42,164.82142857142858
226036.0,A,6,0,0,0
226036.0,A,0,11688.0,11,1062.5454545454545
226036.0,B,0,14500.0,7,2071.4285714285716
226036.0,B,3,8526.5,77,110.73376623376623
226036.0,A,3,10614.5,91,116.64285714285714
226036.0,B,9,0,0,0
226036.0,A,9,4794.0,29,165.31034482758622
227838.0,B,6,7354.5,47,156.4787234042553
227838.0,A,6,0,0,0
227838.0,A,0,13663.0,6,2277.1666666666665
227838.0,B,0,17220.5,6,2870.0833333333335
227838.0,B,3,7634.0,75,101.78666666666666
227838.0,A,3,7053.0,78,90.42307692307692
227838.0,B,9,985.0,1,985.0
227838.0,A,9,4262.0,24,177.58333333333334
229640.0,B,6,7931.5,49,161.8673469387755
229640.0,A,6,0,0,0
229640.0,A,0,14749.5,4,3687.375
229640.0,B,0,16447.5,5,3289.5
229640.0,B,3,8067.0,74,109.01351351351352
229640.0,A,3,7345.5,80,91.81875
229640.0,B,9,733.5,1,733.5
229640.0,A,9,3959.5,22,179.97727272727272
236384.0,B,6,8875.0,51,174.01960784313727
236384.0,A,6,0,0,0
236384.0,A,0,20096.0,3,6698.666666666667
236384.0,B,0,27004.5,1,27004.5
236384.0,B,3,7506.0,77,97.48051948051948
236384.0,A,3,11443.0,87,131.5287356321839
236384.0,B,9,673.0,1,673.0
236384.0,A,9,5038.0,32,157.4375
238185.0,B,6,8748.5,56,156.22321428571428
238185.0,A,6,0,0,0
238185.0,A,0,18598.5,2,9299.25
238185.0,B,0,25811.0,3,8603.666666666666
238185.0,B,3,6949.5,76,91.4407894736842
238185.0,A,3,7961.5,88,90.4715909090909
238185.0,B,9,463.0,1,463.0
238185.0,A,9,4821.5,29,166.25862068965517
239986.0,B,6,9576.0,61,156.98360655737704
239986.0,A,6,0,0,0
239986.0,A,0,18767.0,3,6255.666666666667
239986.0,B,0,24704.5,2,12352.25
239986.0,B,3,9963.0,86,115.84883720930233
239986.0,A,3,11452.5,86,133.16860465116278
239986.0,B,9,204.0,1,204.0
239986.0,A,9,5054.0,28,180.5
241787.0,B,6,9078.5,57,159.2719298245614
241787.0,A,6,0,0,0
241787.0,A,0,19334.0,2,9667.0
241787.0,B,0,24376.5,1,24376.5
241787.0,B,3,9719.5,85,114.34705882352941
241787.0,A,3,7950.5,81,98.15432098765432
241787.0,B,9,0,0,0
241787.0,A,9,5393.5,29,185.98275862068965
243588.0,B,6,8755.5,57,153.60526315789474
243588.0,A,6,0,0,0
243588.0,A,0,20958.0,2,10479.0
243588.0,B,0,24506.5,1,24506.5
243588.0,B,3,8772.5,85,103.20588235294117
243588.0,A,3,7659.0,82,93.40243902439025
243588.0,B,9,0,0,0
243588.0,A,9,4959.0,27,183.66666666666666
245390.0,B,6,9453.0,54,175.05555555555554
245390.0,A,6,0,0,0
245390.0,A,0,19851.0,2,9925.5
245390.0,B,0,26127.0,1,26127.0
245390.0,B,3,10023.0,88,113.89772727272727
245390.0,A,3,7175.0,74,96.95945945945945
245390.0,B,9,282.5,1,282.5
245390.0,A,9,5408.0,34,159.05882352941177
247191.0,B,6,9051.0,60,150.85
247191.0,A,6,0,0,0
247191.0,A,0,20053.0,1,20053.0
247191.0,B,0,26310.5,1,26310.5
247191.0,B,3,9954.0,93,107.03225806451613
247191.0,A,3,7669.5,72,106.52083333333333
247191.0,B,9,426.5,1,426.5
247191.0,A,9,5592.5,35,159.78571428571428
248992.0,B,6,9447.5,59,160.1271186440678
248992.0,A,6,0,0,0
248992.0,A,0,20319.0,2,10159.5
248992.0,B,0,27200.5,1,27200.5
248992.0,B,3,9710.0,86,112.90697674418605
248992.0,A,3,7637.0,85,89.84705882352941
248992.0,B,9,0,0,0
248992.0,A,9,5311.0,29,183.13793103448276
250794.0,B,6,9531.5,63,151.29365079365078
250794.0,A,6,0,0,0
250794.0,A,0,20421.5,2,10210.75
250794.0,B,0,26452.5,1,26452.5
250794.0,B,3,9725.0,85,114.41176470588235
250794.0,A,3,7706.0,79,97.54430379746836
250794.0,B,9,537.0,2,268.5
250794.0,A,9,5708.5,30,190.28333333333333
252595.0,B,6,10023.0,67,149.59701492537314
252595.0,A,6,0,0,0
252595.0,A,0,20794.0,3,6931.333333333333
252595.0,B,0,26665.0,1,26665.0
252595.0,B,3,10019.0,92,108.90217391304348
252595.0,A,3,7150.5,74,96.62837837837837
252595.0,B,9,241.5,1,241.5
252595.0,A,9,5261.0,24,219.20833333333334
254396.0,B,6,10153.5,70,145.05
254396.0,A,6,0,0,0
254396.0,A,0,21270.0,2,10635.0
254396.0,B,0,26284.5,1,26284.5
254396.0,B,3,10720.0,90,119.11111111111111
254396.0,A,3,7791.5,74,105.29054054054055
254396.0,B,9,0,0,0
254396.0,A,9,5044.0,30,168.13333333333333
256198.0,B,6,10104.0,63,160.38095238095238
256198.0,A,6,0,0,0
256198.0,A,0,21995.5,2,10997.75
256198.0,B,0,26868.5,1,26868.5
256198.0,B,3,10780.5,91,118.46703296703296
256198.0,A,3,7484.5,84,89.10119047619048
256198.0,B,9,0,0,0
256198.0,A,9,5120.5,25,204.82
257999.0,B,6,10984.0,66,166.42424242424244
257999.0,A,6,0,0,0
257999.0,A,0,21392.5,2,10696.25
257999.0,B,0,28379.0,1,28379.0
257999.0,B,3,10705.0,90,118.94444444444444
257999.0,A,3,7371.0,72,102.375
257999.0,B,9,247.0,1,247.0
257999.0,A,9,5828.0,37,157.51351351351352
259800.0,B,6,10978.0,74,148.35135135135135
259800.0,A,6,0,0,0
259800.0,A,0,21512.0,2,10756.0
259800.0,B,0,28190.0,1,28190.0
259800.0,B,3,10735.5,91,117.97252747252747
259800.0,A,3,8178.5,77,106.21428571428571
259800.0,B,9,0,0,0
259800.0,A,9,5909.0,32,184.65625
261602.0,B,6,11154.0,68,164.02941176470588
261602.0,A,6,0,0,0
261602.0,A,0,21518.0,2,10759.0
261602.0,B,0,27692.0,2,13846.0
261602.0,B,3,11663.5,86,135.62209302325581
261602.0,A,3,12286.0,89,138.04494382022472
261602.0,B,9,0,0,0
261602.0,A,9,5886.5,33,178.37878787878788
263403.0,B,6,10226.0,62,164.93548387096774
263403.0,A,6,0,0,0
263403.0,A,0,21865.0,1,21865.0
263403.0,B,0,27209.0,1,27209.0
263403.0,B,3,11543.0,89,129.69662921348313
263403.0,A,3,8281.5,79,104.82911392405063
263403.0,B,9,0,0,0
263403.0,A,9,5956.5,31,192.1451612903226
265204.0,B,6,10851.0,67,161.955223880597
265204.0,A,6,0,0,0
265204.0,A,0,22989.0,2,11494.5
265204.0,B,0,28994.0,1,28994.0
265204.0,B,3,10990.5,91,120.77472527472527
265204.0,A,3,7781.0,81,96.06172839506173
265204.0,B,9,6299.0,33,190.87878787878788
265204.0,A,9,5640.5,33,170.92424242424244
267006.0,B,6,11318.5,72,157.20138888888889
267006.0,A,6,0,0,0
267006.0,A,0,23025.5,2,11512.75
267006.0,B,0,28094.0,1,28094.0
267006.0,B,3,10513.5,88,119.4715909090909
267006.0,A,3,8174.0,89,91.84269662921348
267006.0,B,9,6186.5,28,220.94642857142858
267006.0,A,9,5809.0,33,176.03030303030303
268807.0,B,6,10886.0,64,170.09375
268807.0,A,6,0,0,0
268807.0,A,0,22459.0,2,11229.5
268807.0,B,0,29713.0,1,29713.0
268807.0,B,3,11969.0,88,136.01136363636363
268807.0,A,3,7236.5,82,88.25
268807.0,B,9,6109.0,26,234.96153846153845
268807.0,A,9,6286.5,37,169.90540540540542
270608.0,B,6,11443.0,66,173.37878787878788
270608.0,A,6,0,0,0
270608.0,A,0,23288.0,1,23288.0
270608.0,B,0,28963.0,1,28963.0
270608.0,B,3,11572.5,86,134.5639534883721
270608.0,A,3,8407.5,78,107.78846153846153
270608.0,B,9,6114.5,29,210.8448275862069
270608.0,A,9,6121.0,38,161.07894736842104
272410.0,B,6,11316.5,70,161.6642857142857
272410.0,A,6,0,0,0
272410.0,A,0,22804.0,1,22804.0
272410.0,B,0,29586.0,2,14793.0
272410.0,B,3,12080.5,89,135.73595505617976
272410.0,A,3,8385.0,78,107.5
272410.0,B,9,6124.5,31,197.56451612903226
272410.0,A,9,5973.5,37,161.44594594594594
274211.0,B,6,11902.5,64,185.9765625
274211.0,A,6,0,0,0
274211.0,A,0,24344.0,1,24344.0
274211.0,B,0,29128.5,1,29128.5
274211.0,B,3,11910.5,94,126.70744680851064
274211.0,A,3,12699.5,92,138.03804347826087
274211.0,B,9,6738.0,34,198.1764705882353
274211.0,A,9,6238.5,38,164.17105263157896
276012.0,B,6,11840.0,64,185.0
276012.0,A,6,0,0,0
276012.0,A,0,23826.0,2,11913.0
276012.0,B,0,30416.0,1,30416.0
276012.0,B,3,11225.5,85,132.06470588235294
276012.0,A,3,7299.0,78,93.57692307692308
276012.0,B,9,6704.5,30,223.48333333333332
276012.0,A,9,6240.5,37,168.66216216216216
277814.0,B,6,11544.0,58,199.0344827586207
277814.0,A,6,0,0,0
277814.0,A,0,24276.0,1,24276.0
277814.0,B,0,29532.0,1,29532.0
277814.0,B,3,12838.5,86,149.28488372093022
277814.0,A,3,7880.5,81,97.29012345679013
277814.0,B,9,6069.5,29,209.29310344827587
277814.0,A,9,6654.0,38,175.10526315789474
279615.0,B,6,11904.0,66,180.36363636363637
279615.0,A,6,0,0,0
279615.0,A,0,24794.5,1,24794.5
279615.0,B,0,29846.5,1,29846.5
279615.0,B,3,12983.5,90,144.26111111111112
279615.0,A,3,8229.0,77,106.87012987012987
279615.0,B,9,6425.5,36,178.48611111111111
279615.0,A,9,6423.0,39,164.69230769230768
281416.0,B,6,12301.0,71,173.25352112676057
281416.0,A,6,0,0,0
281416.0,A,0,23372.5,1,23372.5
281416.0,B,0,30073.0,1,30073.0
281416.0,B,3,13155.0,90,146.16666666666666
281416.0,A,3,12102.5,96,126.06770833333333
281416.0,B,9,6406.0,29,220.89655172413794
281416.0,A,9,6959.0,38,183.1315789473684
283218.0,B,6,12648.0,71,178.14084507042253
283218.0,A,6,0,0,0
283218.0,A,0,24584.5,2,12292.25
283218.0,B,0,30373.5,1,30373.5
283218.0,B,3,12686.5,94,134.9627659574468
283218.0,A,3,13488.5,102,132.24019607843138
283218.0,B,9,6603.5,29,227.70689655172413
283218.0,A,9,6783.0,42,161.5
285019.0,B,6,12097.5,66,183.29545454545453
285019.0,A,6,0,0,0
285019.0,A,0,24683.0,1,24683.0
285019.0,B,0,30693.5,1,30693.5
285019.0,B,3,12957.5,87,148.9367816091954
285019.0,A,3,8788.0,88,99.86363636363636
285019.0,B,9,6473.5,30,215.78333333333333
285019.0,A,9,6951.5,43,161.6627906976744
286820.0,B,6,12794.0,62,206.3548387096774
286820.0,A,6,0,0,0
286820.0,A,0,24107.5,1,24107.5
286820.0,B,0,30769.5,1,30769.5
286820.0,B,3,13062.5,95,137.5
286820.0,A,3,13199.5,97,136.07731958762886
286820.0,B,9,6998.0,30,233.26666666666668
286820.0,A,9,7235.0,41,176.46341463414635
288622.0,B,6,11907.5,66,180.41666666666666
288622.0,A,6,0,0,0
288622.0,A,0,25366.5,1,25366.5
288622.0,B,0,30803.5,1,30803.5
288622.0,B,3,12650.5,83,152.4156626506024
288622.0,A,3,8107.5,87,93.1896551724138
288622.0,B,9,6738.5,36,187.18055555555554
288622.0,A,9,7148.5,42,170.20238095238096
290423.0,B,6,12293.0,70,175.61428571428573
290423.0,A,6,0,0,0
290423.0,A,0,24180.0,1,24180.0
290423.0,B,0,31319.0,2,15659.5
290423.0,B,3,13735.0,80,171.6875
290423.0,A,3,8737.0,90,97.07777777777778
290423.0,B,9,6843.0,43,159.13953488372093
290423.0,A,9,7313.5,41,178.3780487804878
292224.0,B,6,12311.0,71,173.3943661971831
292224.0,A,6,0,0,0
292224.0,A,0,25772.0,1,25772.0
292224.0,B,0,30747.0,1,30747.0
292224.0,B,3,13251.0,82,161.59756097560975
292224.0,A,3,8153.0,75,108.70666666666666
292224.0,B,9,6807.0,40,170.175
292224.0,A,9,7203.0,40,180.075
294026.0,B,6,13341.5,66,202.1439393939394
294026.0,A,6,0,0,0
294026.0,A,0,24607.5,1,24607.5
294026.0,B,0,31903.0,1,31903.0
294026.0,B,3,13621.0,99,137.58585858585857
294026.0,A,3,12800.5,83,154.22289156626505
294026.0,B,9,7092.0,36,197.0
294026.0,A,9,7430.5,41,181.23170731707316
295827.0,B,6,13024.5,70,186.06428571428572
295827.0,A,6,0,0,0
295827.0,A,0,24176.5,1,24176.5
295827.0,B,0,31941.0,1,31941.0
295827.0,B,3,12976.0,91,142.5934065934066
295827.0,A,3,9045.0,97,93.24742268041237
295827.0,B,9,6701.0,32,209.40625
295827.0,A,9,6586.5,37,178.01351351351352
297629.0,B,6,12962.5,75,172.83333333333334
297629.0,A,6,0,0,0
297629.0,A,0,25440.5,2,12720.25
297629.0,B,0,32423.0,1,32423.0
297629.0,B,3,13768.0,90,152.9777777777778
297629.0,A,3,9899.0,91,108.78021978021978
297629.0,B,9,7058.0,35,201.65714285714284
297629.0,A,9,7420.5,41,180.9878048780488
299430.0,B,6,12870.5,74,173.92567567567568
299430.0,A,6,0,0,0
299430.0,A,0,24997.5,1,24997.5
299430.0,B,0,33032.0,1,33032.0
299430.0,B,3,14042.0,84,167.16666666666666
299430.0,A,3,8812.5,83,106.17469879518072
299430.0,B,9,6931.0,34,203.85294117647058
299430.0,A,9,7702.5,53,145.33018867924528
301231.0,B,6,12390.0,75,165.2
301231.0,A,6,0,0,0
301231.0,A,0,24720.5,2,12360.25
